,dataset,kernel,layers,latent_dim,auc_roc,lr,batch_size,n_inducing,n_epochs,auc_pr
0,01_ALOI,rbf,"5,5",13,0.5390583978,0.01,128,50,1000,0.0370918402
1,02_annthyroid,rbf,"10,10,10",3,0.698825,0.01,128,50,1000,0.2850022444
49,03_backdoor,rbf,"15,15",2,0.8321063287,0.01,128,50,1000,0.3537909647
3,04_breastw,rbf,"10,10,10",4,0.9963348765,0.01,128,50,1000,0.9931303884
51,05_campaign,rbf,"5,5",15,0.7361962739,0.01,128,100,1000,0.2832164612
52,06_cardio,rbf,"15,15",10,0.9679586956,0.01,128,50,1000,0.7212818284
53,07_Cardiotocography,rbf,"5,5",10,0.7638239538,0.01,128,10,1000,0.5250842685
7,08_celeba,rbf,"5,5",15,0.8294522953,0.01,128,50,1000,0.1694779999
55,09_census,rbf,"10,10,10",2,0.6636570496,0.01,128,50,1000,0.0876030436
56,10_cover,rbf,"5,5",5,0.9534883721,0.01,128,10,1000,0.1491601685
57,11_donors,rbf,"5,5",5,0.9676828579,0.01,128,100,1000,0.5874069921
58,12_fault,rbf,"15,15",2,0.7447701463,0.01,128,50,1000,0.5670457131
59,13_fraud,rbf,"10,10",2,0.9477128548,0.01,128,50,1000,0.1332628182
13,14_glass,rbf,"10,10",3,0.896508336,0.01,128,50,1000,0.3667037504
14,15_Hepatitis,rbf,"10,10,10",9,0.9586581621,0.01,128,50,1000,0.7177619673
15,16_http,rbf,"5,5",1,0.9996648794,0.01,128,50,1000,0.8475279673
63,17_InternetAds,rbf,"10,10",2,0.6302083333,0.01,128,50,1000,0.306764226
17,18_Ionosphere,rbf,"5,5",15,0.9894736842,0.01,128,50,1000,0.9855969964
65,19_landsat,rbf,"5,5",2,0.7249983671,0.01,128,50,1000,0.4074214614
66,20_letter,rbf,"15,15",5,0.8820740741,0.01,128,50,1000,0.3168671211
20,21_Lymphography,rbf,"10,10,10",9,1.0,0.01,128,50,1000,1.0
68,22_magic.gamma,rbf,"10,10",5,0.7958684348,0.01,128,100,1000,0.7412984821
22,23_mammography,rbf,"15,15",3,0.8694025359,0.01,128,50,1000,0.2734387978
70,24_mnist,rbf,"5,5",5,0.9207928077,0.01,128,50,1000,0.5724623936
71,25_musk,rbf,"10,10",2,1.0,0.01,128,50,1000,1.0
72,26_optdigits,rbf,"10,10",2,0.9319152047,0.01,128,50,1000,0.1731167972
26,27_PageBlocks,rbf,"15,15",5,0.9444154454,0.01,128,50,1000,0.7266070615
74,28_pendigits,rbf,"10,10",8,0.9696908872,0.01,128,100,1000,0.3212811372
75,29_Pima,rbf,"15,15",4,0.7114425452,0.01,128,100,1000,0.5492066578
76,30_satellite,rbf,"10,10",2,0.8145216486,0.01,128,50,1000,0.7651764103
77,31_satimage-2,rbf,"15,15",2,0.9992801772,0.01,128,50,1000,0.9736575481
78,32_shuttle,rbf,"5,5",4,0.998303371,0.01,128,10,1000,0.9602424271
32,33_skin,rbf,"10,10",1,0.8923686796,0.01,128,50,1000,0.5110955053
33,34_smtp,rbf,"10,10,10",1,0.8326108703,0.01,128,50,1000,0.0019880716
81,35_SpamBase,rbf,"10,10",2,0.647732501,0.01,128,50,1000,0.5028199989
35,36_speech,rbf,"10,10",15,0.4741115196,0.01,128,50,1000,0.0177054328
83,37_Stamps,rbf,"15,15",4,0.9649454545,0.01,128,100,1000,0.689215401
84,38_thyroid,rbf,"10,10,10",3,0.9673266046,0.01,128,10,1000,0.619246767
38,39_vertebral,rbf,"10,10",3,0.5069230769,0.01,128,50,1000,0.1365027513
86,40_vowels,rbf,"10,10",6,0.9532385466,0.01,128,100,1000,0.6751135624
87,41_Waveform,rbf,"5,5",10,0.8293785311,0.01,128,100,1000,0.2786483779
41,42_WBC,rbf,"10,10",4,0.9981238274,0.01,128,50,1000,0.9627535926
89,43_WDBC,rbf,"5,5",2,0.9979310345,0.01,128,50,1000,0.9263455988
43,44_Wilt,rbf,"15,15",2,0.3200079687,0.01,128,50,1000,0.0360773305
44,45_wine,rbf,"10,10",6,0.9960748792,0.01,128,50,1000,0.9596683951
92,46_WPBC,rbf,"10,10",2,0.8254814815,0.01,128,50,1000,0.6198440344
46,47_yeast,rbf,"10,10",4,0.4794128178,0.01,128,50,1000,0.3419174961
